standardlithology_id,mapunit,parttype,lithology,proportionterm,proportionvalue,scientificconfidence,datasourceid
GMA.StandardLithology.55,Q,Not Assigned,Sand (sandy sediment),Subordinate,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.54,Q,Not Assigned,Mud (muddy sediment),Subordinate,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.56,Q,Not Assigned,Gravel (Gravelly sediment),Present,0,Standard Confidence,GMA.DataSources.193
GMA.StandardLithology.57,Q,Not Assigned,Clastic sedimentary material,Dominant,0,Standard Confidence,GMA.DataSources.193
GMA.StandardLithology.155,QTb,Not Assigned,Basaltic lava,Dominant,0,Standard Confidence,GMA.DataSources.202
GMA.StandardLithology.153,QTb,Not Assigned,Lava autobreccia,Minor,0,Standard Confidence,GMA.DataSources.202
GMA.StandardLithology.154,QTb,Not Assigned,Conglomerate (conglomeratic rock of SLTTs),Minor,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.111,QTv,Not Assigned,Volcanic-lithic sedimentary rock (tuffite),Minor,0,Standard Confidence,GMA.DataSources.196
GMA.StandardLithology.110,QTv,Not Assigned,Rhyolitic rock,Present,0,Standard Confidence,GMA.DataSources.203
GMA.StandardLithology.112,QTv,Not Assigned,Andesitic rock,Present,0,Standard Confidence,GMA.DataSources.203
GMA.StandardLithology.109,QTv,Not Assigned,Dacitic rock,Present,0,Standard Confidence,GMA.DataSources.194
GMA.StandardLithology.83,Qr,Not Assigned,Gravel (Gravelly sediment),Present,0,Standard Confidence,GMA.DataSources.193
GMA.StandardLithology.84,Qr,Not Assigned,Sandy gravel,Present,0,Standard Confidence,GMA.DataSources.193
GMA.StandardLithology.82,Qr,Not Assigned,Sand (sandy sediment),Dominant,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.81,Qy,Not Assigned,Gravel (Gravelly sediment),Present,0,Standard Confidence,GMA.DataSources.193
GMA.StandardLithology.80,Qy,Not Assigned,Gravelly sand,Subordinate,0,Standard Confidence,GMA.DataSources.193
GMA.StandardLithology.78,Qy,Not Assigned,Mud (muddy sediment),Subordinate,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.79,Qy,Not Assigned,Sand (sandy sediment),Minor,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.42,Qm,Not Assigned,Gravelly sand,Subordinate,0,Standard Confidence,GMA.DataSources.193
