contactsandfaults_id,type,isconcealed,existenceconfidence,identityconfidence,locationconfidencemeters,label,datasourceid,notes,symbol
GMA.ContactsAndFaults.13668,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13669,Fault,0,Standard Confidence,Standard Confidence,0,High-Angle Active Fault,GMA.DataSources.25,,307
GMA.ContactsAndFaults.13670,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13671,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13672,Fault,0,Standard Confidence,Standard Confidence,0,High-Angle Active Fault,GMA.DataSources.25,,307
GMA.ContactsAndFaults.13673,Fault,0,Standard Confidence,Standard Confidence,0,High-Angle Active Fault,GMA.DataSources.25,,307
GMA.ContactsAndFaults.13674,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13675,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13676,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.81,,61
GMA.ContactsAndFaults.13677,Fault,0,Standard Confidence,Standard Confidence,0,High-Angle Active Fault,GMA.DataSources.25,,307
GMA.ContactsAndFaults.13678,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13679,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13680,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13681,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13682,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13683,Fault,0,Standard Confidence,Standard Confidence,0,High-Angle Active Fault,GMA.DataSources.25,,307
GMA.ContactsAndFaults.13684,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13685,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.81,,61
GMA.ContactsAndFaults.13686,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13687,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13688,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13689,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
