extendedattributes_id,ownertable,ownerid,property,propertyvalue,valuelinkid,qualifier,notes,datasourceid
GMA.ExtendedAttributes.17,DescriptionOfMapUnits,GMA.DescriptionOfMapUnits.1,preferredage,,GMA.GeologicEvents.20,,,GMA.DataSources.1
GMA.ExtendedAttributes.15,DescriptionOfMapUnits,GMA.DescriptionOfMapUnits.10,preferredage,,GMA.GeologicEvents.17,,,GMA.DataSources.1
GMA.ExtendedAttributes.29,DescriptionOfMapUnits,GMA.DescriptionOfMapUnits.11,preferredage,,GMA.GeologicEvents.23,,,GMA.DataSources.1
GMA.ExtendedAttributes.26,DescriptionOfMapUnits,GMA.DescriptionOfMapUnits.12,preferredage,,GMA.GeologicEvents.13,,,GMA.DataSources.1
GMA.ExtendedAttributes.27,DescriptionOfMapUnits,GMA.DescriptionOfMapUnits.13,preferredage,,GMA.GeologicEvents.13,,,GMA.DataSources.1
GMA.ExtendedAttributes.23,DescriptionOfMapUnits,GMA.DescriptionOfMapUnits.14,preferredage,,GMA.GeologicEvents.13,,,GMA.DataSources.1
GMA.ExtendedAttributes.24,DescriptionOfMapUnits,GMA.DescriptionOfMapUnits.15,preferredage,,GMA.GeologicEvents.13,,,GMA.DataSources.1
GMA.ExtendedAttributes.25,DescriptionOfMapUnits,GMA.DescriptionOfMapUnits.16,preferredage,,GMA.GeologicEvents.13,,,GMA.DataSources.1
GMA.ExtendedAttributes.30,DescriptionOfMapUnits,GMA.DescriptionOfMapUnits.17,preferredage,,GMA.GeologicEvents.26,,,GMA.DataSources.1
GMA.ExtendedAttributes.16,DescriptionOfMapUnits,GMA.DescriptionOfMapUnits.18,preferredage,,GMA.GeologicEvents.14,,,GMA.DataSources.1
GMA.ExtendedAttributes.35,DescriptionOfMapUnits,GMA.DescriptionOfMapUnits.19,preferredage,,GMA.GeologicEvents.24,,,GMA.DataSources.1
GMA.ExtendedAttributes.22,DescriptionOfMapUnits,GMA.DescriptionOfMapUnits.2,preferredage,,GMA.GeologicEvents.15,,,GMA.DataSources.1
GMA.ExtendedAttributes.34,DescriptionOfMapUnits,GMA.DescriptionOfMapUnits.20,preferredage,,GMA.GeologicEvents.24,,,GMA.DataSources.1
GMA.ExtendedAttributes.32,DescriptionOfMapUnits,GMA.DescriptionOfMapUnits.21,preferredage,,GMA.GeologicEvents.24,,,GMA.DataSources.1
GMA.ExtendedAttributes.33,DescriptionOfMapUnits,GMA.DescriptionOfMapUnits.22,preferredage,,GMA.GeologicEvents.24,,,GMA.DataSources.1
GMA.ExtendedAttributes.31,DescriptionOfMapUnits,GMA.DescriptionOfMapUnits.23,preferredage,,GMA.GeologicEvents.22,,,GMA.DataSources.1
GMA.ExtendedAttributes.43,DescriptionOfMapUnits,GMA.DescriptionOfMapUnits.24,preferredage,,GMA.GeologicEvents.25,,,GMA.DataSources.1
GMA.ExtendedAttributes.10,DescriptionOfMapUnits,GMA.DescriptionOfMapUnits.25,preferredage,,GMA.GeologicEvents.29,,,GMA.DataSources.1
GMA.ExtendedAttributes.41,DescriptionOfMapUnits,GMA.DescriptionOfMapUnits.26,preferredage,,GMA.GeologicEvents.8,,,GMA.DataSources.1
GMA.ExtendedAttributes.37,DescriptionOfMapUnits,GMA.DescriptionOfMapUnits.27,preferredage,,GMA.GeologicEvents.7,,,GMA.DataSources.1
GMA.ExtendedAttributes.38,DescriptionOfMapUnits,GMA.DescriptionOfMapUnits.28,preferredage,,GMA.GeologicEvents.7,,,GMA.DataSources.1
GMA.ExtendedAttributes.36,DescriptionOfMapUnits,GMA.DescriptionOfMapUnits.29,preferredage,,GMA.GeologicEvents.7,,,GMA.DataSources.1
GMA.ExtendedAttributes.21,DescriptionOfMapUnits,GMA.DescriptionOfMapUnits.3,preferredage,,GMA.GeologicEvents.15,,,GMA.DataSources.1
GMA.ExtendedAttributes.28,DescriptionOfMapUnits,GMA.DescriptionOfMapUnits.31,preferredage,,GMA.GeologicEvents.3,,,GMA.DataSources.1
