mapunitpolys_id,mapunit,identityconfidence,label,symbol,notes,datasourceid
GMA.MapUnitPolys.297,Qo,Standard Confidence,Qo,22,"Coarse relict alluvial fan deposits that form rounded ridges or flat, isolated surfaces that are moderately to deeply incised by streams. These deposits are generally topographically high and have undergone substantial erosion. Deposits are moderately to",GMA.DataSources.121
GMA.MapUnitPolys.276,M_,Standard Confidence,M_,13,"Brown to dark gray sandstone grades upward into green and gray shale, overlain by light to medium gray or tan limestone and dolostone. This unit includes the Tapeats Sandstone, Bright Angel Shale, Muav Limestone, Temple Butte Formation and Redwall Limest",GMA.DataSources.121
GMA.MapUnitPolys.277,P*,Standard Confidence,P*,16,,GMA.DataSources.19
GMA.MapUnitPolys.278,^m,Standard Confidence,^m,50,"Dark red sandstone and mudstone; includes gypsum beds in northwestern Arizona; deposited on a low-relief coastal plain.  (230-245 Ma)",GMA.DataSources.121
GMA.MapUnitPolys.279,P*,Standard Confidence,P*,16,,GMA.DataSources.121
GMA.MapUnitPolys.284,P*,Standard Confidence,P*,16,,GMA.DataSources.121
GMA.MapUnitPolys.3435,TKg,Standard Confidence,TKg,25,"Porphyritic to equigranular granite to diorite emplaced during the Laramide orogeny. Larger plutons are characteristically medium-grained, biotite +/- hornblende granodiorite to granite. Smaller, shallow-level intrusions are typically porphyritic. Most o",GMA.DataSources.64
GMA.MapUnitPolys.280,P*,Standard Confidence,P*,16,,GMA.DataSources.19
GMA.MapUnitPolys.281,Q,Standard Confidence,Q,17,"Unconsolidated to strongly consolidated alluvial and eolian deposits. This unit includes: coarse, poorly sorted alluvial fan and terrace deposits on middle and upper piedmonts and along large drainages; sand, silt and clay on alluvial plains and playas;",GMA.DataSources.121
GMA.MapUnitPolys.285,QTb,Standard Confidence,QTb,18,"Mostly dark-colored basaltic lava and cinders young enough that some original volcanic landforms are still apparent. Includes a small amount of andesite, dacite, and rhyolite. Rocks of this map unit are largely restricted to six areas widely distributed",GMA.DataSources.121
GMA.MapUnitPolys.310,P*,Standard Confidence,P*,16,,GMA.DataSources.121
GMA.MapUnitPolys.282,M_,Standard Confidence,M_,13,"Brown to dark gray sandstone grades upward into green and gray shale, overlain by light to medium gray or tan limestone and dolostone. This unit includes the Tapeats Sandstone, Bright Angel Shale, Muav Limestone, Temple Butte Formation and Redwall Limest",GMA.DataSources.19
GMA.MapUnitPolys.283,^m,Standard Confidence,^m,50,"Dark red sandstone and mudstone; includes gypsum beds in northwestern Arizona; deposited on a low-relief coastal plain.  (230-245 Ma)",GMA.DataSources.121
GMA.MapUnitPolys.287,Xg,Standard Confidence,Xg,39,"Wide variety of granitic rocks, including granite, granodiorite, tonalite, quartz diorite, diorite, and gabbro. These rocks commonly are characterized by steep, northeast-striking foliation.  (1600-1800 Ma)",GMA.DataSources.135
GMA.MapUnitPolys.288,P*,Standard Confidence,P*,16,,GMA.DataSources.121
GMA.MapUnitPolys.289,QTb,Standard Confidence,QTb,18,"Mostly dark-colored basaltic lava and cinders young enough that some original volcanic landforms are still apparent. Includes a small amount of andesite, dacite, and rhyolite. Rocks of this map unit are largely restricted to six areas widely distributed",GMA.DataSources.121
GMA.MapUnitPolys.290,P*,Standard Confidence,P*,16,,GMA.DataSources.121
GMA.MapUnitPolys.291,P*,Standard Confidence,P*,16,,GMA.DataSources.121
GMA.MapUnitPolys.292,Xg,Standard Confidence,Xg,39,"Wide variety of granitic rocks, including granite, granodiorite, tonalite, quartz diorite, diorite, and gabbro. These rocks commonly are characterized by steep, northeast-striking foliation.  (1600-1800 Ma)",GMA.DataSources.135
GMA.MapUnitPolys.293,P*,Standard Confidence,P*,16,,GMA.DataSources.121
GMA.MapUnitPolys.294,P,Standard Confidence,P,14,"Gray to tan, cherty limestone of Kaibab and Toroweap Formations, and underlying white to tan, fine-grained Coconino Sandstone. Limestone was deposited in a shallow sea, and sandstone was deposited in near-shore dunes and beach settings.  (270-280 Ma)",GMA.DataSources.121
GMA.MapUnitPolys.295,P*,Standard Confidence,P*,16,,GMA.DataSources.121
GMA.MapUnitPolys.296,^m,Standard Confidence,^m,50,"Dark red sandstone and mudstone; includes gypsum beds in northwestern Arizona; deposited on a low-relief coastal plain.  (230-245 Ma)",GMA.DataSources.121
