datasources_id,notes,source
GMA.DataSources.171,Data obtained from Arizona State Land Department.,ALRIS
GMA.DataSources.172,Polygon identification taken from Anderson and Piety Map,AndersonEtAlTontoBasin87
GMA.DataSources.173,Build tracking records for DI 8 v. 3 from Map 35 coverage files,ArizonaGeology2000
GMA.DataSources.174,Build tracking records for DI 8 v. 3 from Map 35 coverage files,BeikmanEtAlTohono95
GMA.DataSources.175,Polygon identification based on 3 sources,"BeikmanEtAlTohono95,FergusonEtAlRoskruge00,TosdalE"
GMA.DataSources.6,"Boundary area at south edge of Waterman Mountains. Extent into reservation based on Beikman et al., 1995","BeikmanEtAlTohono95,RichardEtAlWaterman00"
GMA.DataSources.146,Identification of volcanic rocks as Jurassic instead of Tertiary,"BeikmanEtAlTohono95,TosdalEtAlJrGeol89"
GMA.DataSources.147,Adjust million scale contact location by reference to 62500 reconnaissance map,BergquistEtAlSantaRosa78
GMA.DataSources.148,"Polygon identification based on Bergquist et al., 1981, to clarify identification on Spencer Theodore Roosevelt Lake compilation.",BergquistEtAlSierraAncha
GMA.DataSources.149,"1:24000 scale digital geologic map of San Bernardino Valley, generalized directly on screen for million scale.",BiggsEtAlSanBernardino99
GMA.DataSources.150,"1:24000 scale digital geologic map of San Bernardino Valley, generalized directly on screen for million scale. Pearthree and Bausch, 1999 Quaternary fault map used to locate fault and identify as Quaternary fault.","BiggsEtAlSanBernardino99,PearthreeQFaults99"
GMA.DataSources.151,"Data compiled from Surficial geologic mapping. Location of bedrock boundaries uses as well. Mostly for Quaternary unit contacts and indentification. Digital versions of these maps have not been released as DI, but were used to generate paper OFR.",BiggsGrowler99
GMA.DataSources.152,Check location of contact between Paleozoic and Mesozoic sedimentary rocks,BriskeyHaxelGuAchi78
GMA.DataSources.153,Use published 30 by 60 quad to edit Map 26 (DI-8 v.2) linework,BryantAlamoLake
GMA.DataSources.3,Reconcile Qm-Qy contact to connect between Alamo Lake and Phoenix North quadrangles. Phil Pearthree inspected NHAP photos to determine best location,"BryantAlamoLake, PearthreePhotoInterpret"
GMA.DataSources.7,Reconcile Qy polygon identification  to connect between Alamo Lake and Phoenix North quadrangles. Phil Pearthree inspected NHAP photos to determine best location,"BryantAlamoLake,SalomRichardEtAlSalome94,Pearthree"
GMA.DataSources.8,"Use Casa Grande 1:100,000-scale 30 by 60 minute quadrangle  to accurately locate small inselbergs identified on Wilson 69 geologic map",CasaGrandeUSGS100kTopo
